cell_id,lat,lon,crop_type,label,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,EVI_mean,EVI_std,EVI_min,EVI_max,SAVI_mean,SAVI_std,SAVI_min,SAVI_max,GNDVI_mean,GNDVI_std,GNDVI_min,GNDVI_max,CIgreen_mean,CIgreen_std,CIgreen_min,CIgreen_max,MCARI_mean,MCARI_std,MCARI_min,MCARI_max,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,MSI_mean,MSI_std,MSI_min,MSI_max,ARI_mean,ARI_std,ARI_min,ARI_max,SIPI_mean,SIPI_std,SIPI_min,SIPI_max,NDBI_mean,NDBI_std,NDBI_min,NDBI_max,temperature,humidity,pressure,windSpeed,precipitation
cell_1_74,30.9,75.8,0,0,0.16453692317008972,0.034110210835933685,-0.12163730710744858,0.30331283807754517,861401.625,39676152.0,-5030.01025390625,2790000128.0,0.24677559733390808,0.05115842819213867,-0.18244633078575134,0.45492416620254517,0.10360265523195267,0.023440802469849586,-0.1412068009376526,0.24635739624500275,0.23263336718082428,0.056684594601392746,-0.2474692463874817,0.6537777185440063,846.6785278320312,220.40402221679688,-688.5081176757812,2870.8369140625,-0.10360265523195267,0.023440802469849586,-0.24635739624500275,0.1412068009376526,1.6350996494293213,0.1934901922941208,0.8074102401733398,2.594202995300293,-6.823219882789999e-05,2.6133704523090273e-05,-0.00020684002083726227,7.22477852832526e-05,162.79483032226562,166828.5,-352.99981689453125,172000000.0,0.23682717978954315,0.05734289065003395,-0.10655562579631805,0.44354838132858276,28,60,1005,2,0
cell_1_75,30.9,75.8,0,0,0.11745282262563705,0.046364493668079376,-0.11511292308568954,0.29986217617988586,365500.59375,25206088.0,-4995.01025390625,3342500096.0,0.1761605143547058,0.0695372223854065,-0.17266079783439636,0.4497489929199219,0.06808913499116898,0.04124172776937485,-0.17352135479450226,0.3196457326412201,0.15028654038906097,0.09411588311195374,-0.29572761058807373,0.9396449327468872,676.2881469726562,240.93231201171875,-773.8605346679688,2870.13330078125,-0.06808913499116898,0.04124172776937485,-0.3196457326412201,0.17352135479450226,1.4158110618591309,0.2184402346611023,0.5957900881767273,2.490628957748413,-4.511728911893442e-05,2.8776170438504778e-05,-0.00019991662702523172,0.00015298931975848973,-12061.51953125,3533205.25,-1568000000.0,194000000.0,0.16537059843540192,0.07516755163669586,-0.2532976567745209,0.4270373582839966,28,60,1005,2,0
cell_1_76,30.9,75.8,0,0,0.10518761724233627,0.05288449674844742,-0.2533800005912781,0.4553754925727844,246200.890625,21535576.0,-4520.00927734375,3842500096.0,0.1577654927968979,0.07931715250015259,-0.38005489110946655,0.6830242872238159,0.05915301665663719,0.04490889981389046,-0.35479825735092163,0.42368045449256897,0.1305505633354187,0.10089900344610214,-0.5237654447555542,1.47029709815979,652.7933349609375,280.5894775390625,-1798.0164794921875,10027.369140625,-0.05915301665663719,0.04490889981389046,-0.42368045449256897,0.35479825735092163,1.3624534606933594,0.24718913435935974,0.4758194386959076,2.45322585105896,-3.905675475834869e-05,2.524633237044327e-05,-0.000245757051743567,0.00014598839334212244,-52712.27734375,7709059.0,-2332000000.0,152000000.0,0.14415676891803741,0.08922649174928665,-0.3551793098449707,0.4208313822746277,28,60,1005,2,0
cell_1_77,30.9,75.8,0,0,0.12313459068536758,0.05947088077664375,-0.2179126888513565,0.37588176131248474,601858.4375,34107400.0,-5605.01123046875,3067500032.0,0.18468117713928223,0.08919544517993927,-0.3268537223339081,0.5637753009796143,0.07345478236675262,0.04781154915690422,-0.3715967535972595,0.4106728434562683,0.16413888335227966,0.1084209680557251,-0.5418455004692078,1.3937008380889893,697.6777954101562,321.1778564453125,-1161.736083984375,4272.0400390625,-0.07345478236675262,0.04781154915690422,-0.4106728434562683,0.3715967535972595,1.4529575109481812,0.2740103304386139,0.49835124611854553,2.5835230350494385,-4.8774858441902325e-05,2.9318676752154715e-05,-0.0002052085765171796,0.00015898546553216875,-46398.7578125,7289766.5,-2608000000.0,564000000.0,0.1740771383047104,0.09553997218608856,-0.33480051159858704,0.44189000129699707,28,60,1005,2,0
cell_1_78,30.9,75.8,0,0,0.1364324986934662,0.058002982288599014,-0.27511483430862427,0.4496431350708008,681183.6875,35973452.0,-155000000.0,3017499904.0,0.2046249657869339,0.08699334412813187,-0.4126588702201843,0.6744201183319092,0.08449258655309677,0.04535733163356781,-0.27465516328811646,0.49123045802116394,0.1897156536579132,0.10383540391921997,-0.4309481978416443,1.9310529232025146,745.4705810546875,302.17791748046875,-1964.2335205078125,7057.5546875,-0.08449258655309677,0.04535733163356781,-0.49123045802116394,0.27465516328811646,1.551669716835022,0.29189738631248474,0.5328227281570435,2.782794952392578,-5.3894658776698634e-05,3.0074043024796993e-05,-0.00016777546261437237,0.00016333075473085046,-44352.234375,7461687.5,-2408000000.0,626000000.0,0.2051478922367096,0.09749200940132141,-0.30478230118751526,0.4712904095649719,28,60,1005,2,0
cell_1_79,30.9,75.8,0,0,0.1477147489786148,0.04275820404291153,-0.15877437591552734,0.34015610814094543,687082.6875,34967992.0,-5100.01025390625,2735000064.0,0.2215462625026703,0.06412844359874725,-0.23814409971237183,0.5101898908615112,0.0962986946105957,0.0380910187959671,-0.17357222735881805,0.322054386138916,0.2169216126203537,0.09034594148397446,-0.2958015203475952,0.9500890970230103,769.73779296875,233.0973358154297,-931.0013427734375,3763.07373046875,-0.0962986946105957,0.0380910187959671,-0.322054386138916,0.17357222735881805,1.6056301593780518,0.21476556360721588,0.7082706689834595,2.6019418239593506,-5.489084651344456e-05,3.19114224112127e-05,-0.00023204504395835102,0.00016473932191729546,-3226.54296875,1907237.125,-1328000000.0,410000000.0,0.226951465010643,0.06703270971775055,-0.1707746535539627,0.44474393129348755,28,60,1005,2,0
cell_1_8,30.9,75.8,0,0,0.0377720445394516,0.07984813302755356,-0.2497343271970749,0.42766934633255005,86018.4765625,14621221.0,-467500000.0,3417499904.0,0.056653425097465515,0.11975878477096558,-0.3745766282081604,0.6414579749107361,0.00031221340759657323,0.07994713634252548,-0.4769621789455414,0.5137733221054077,0.014034606516361237,0.1685604602098465,-0.6458691954612732,2.1133077144622803,390.1689147949219,490.05072021484375,-1203.3115234375,6814.65673828125,-0.00031221340759657323,0.07994713634252548,-0.5137733221054077,0.4769621789455414,1.058658242225647,0.37400785088539124,0.2875223457813263,3.3486552238464355,-3.046476012968924e-05,3.4625030821189284e-05,-0.0003279754309915006,0.00024641951313242316,-23493.47265625,17132722.0,-4400000000.0,1088000000.0,0.0016343361930921674,0.15002866089344025,-0.5533710718154907,0.5400876998901367,28,60,1005,2,0
cell_1_80,30.9,75.8,0,0,0.1468711644411087,0.047434817999601364,-0.5142485499382019,0.5470436811447144,676486.0625,33245298.0,-4870.009765625,2540000000.0,0.22027863562107086,0.07114239782094955,-0.7713342905044556,0.8205128908157349,0.09504623711109161,0.03524979203939438,-0.5681973695755005,0.512060284614563,0.21326179802417755,0.08244560658931732,-0.7246503829956055,2.098867177963257,705.9609985351562,262.5016784667969,-1682.84912109375,11751.8359375,-0.09504623711109161,0.03524979203939438,-0.512060284614563,0.5681973695755005,1.5950934886932373,0.2505550980567932,0.6005317568778992,3.7609920501708984,-6.044545807526447e-05,3.215901961084455e-05,-0.0005027293809689581,0.0003904005279764533,356.69781494140625,825957.25,-444000000.0,310000000.0,0.22172603011131287,0.07933136075735092,-0.24958471953868866,0.5799195170402527,28,60,1005,2,0
cell_1_81,30.9,75.8,0,0,-0.9714391827583313,0.17830805480480194,-1.0,0.25951558351516724,15427.037109375,4758792.0,-3425.0068359375,1930000000.0,-1.4567127227783203,0.26738613843917847,-1.499541997909546,0.3892252743244171,-0.9726234674453735,0.17085616290569305,-1.0,0.23959264159202576,-0.9697654247283936,0.1889306902885437,-1.0,0.630169153213501,15.84085464477539,105.03045654296875,-693.7999877929688,1798.350830078125,0.9726234674453735,0.17085616290569305,-0.23959264159202576,1.0,4406781440.0,706347008.0,0.7541078329086304,4520000000.0,-0.00011000836821040139,9.730985766509548e-06,-0.00016045739175751805,0.0001179833197966218,245.353759765625,253018.40625,-174.9999542236328,262000000.0,0.9804246425628662,0.12253259122371674,-0.140180766582489,1.0,28,60,1005,2,0
cell_1_82,30.9,75.8,0,0,0.08917258679866791,0.06660770624876022,-0.3330063819885254,0.3934631049633026,388322.8125,25232070.0,-1090000000.0,3304999936.0,0.1337449550628662,0.09989990293979645,-0.49947893619537354,0.590142011642456,0.06647687405347824,0.045311909168958664,-0.35299715399742126,0.34959349036216736,0.14740662276744843,0.10295173525810242,-0.5218002796173096,1.0750000476837158,499.7100830078125,389.5591125488281,-1719.228271484375,4677.521484375,-0.06647687405347824,0.045311909168958664,-0.34959349036216736,0.35299715399742126,1.3093695640563965,0.30153611302375793,0.4626455008983612,2.7916083335876465,-2.376089287281502e-05,4.039577106595971e-05,-0.00022679020185023546,0.00020071343169547617,20239.25390625,7477555.5,-1780000000.0,1572000000.0,0.12049994617700577,0.10422252863645554,-0.3673853278160095,0.4725193679332733,28,60,1005,2,0
cell_1_83,30.9,75.8,0,0,-0.6395207643508911,0.5144035816192627,-1.0,0.37159109115600586,149722.53125,17065484.0,-565000000.0,4542499840.0,-0.9592217803001404,0.771553635597229,-1.4999041557312012,0.5573400259017944,-0.6483001708984375,0.5013324022293091,-1.0,0.3821483254432678,-0.6224990487098694,0.5404676795005798,-1.0,1.237022876739502,180.2061309814453,337.6204833984375,-1102.41796875,4063.20458984375,0.6483001708984375,0.5013324022293091,-0.3821483254432678,1.0,5030025728.0,3533324544.0,0.4706529676914215,7512000000.0,-8.972693649411667e-06,2.143791971320752e-05,-0.000220748275751248,0.0001693961676210165,-11861.6796875,5535085.5,-2336000000.0,740000000.0,0.7061508893966675,0.42167332768440247,-0.35994014143943787,1.0,28,60,1005,2,0
